k = 0
E = -19.4408614974123
site	densite
12 0.330569587529388
13 0.330569587529388
14 0.330569587529388
15 0.330569587529388
16 0.330569587529388
17 0.330569587529388
E = -18.8521586974291
site	densite
0 0.11103778413877
1 0.11103778413877
2 0.11103778413877
3 0.11103778413877
4 0.11103778413877
5 0.11103778413877
6 0.11103778413877
7 0.11103778413877
8 0.11103778413877
9 0.11103778413877
10 0.11103778413877
11 0.11103778413877
12 0.11103778413877
13 0.11103778413877
14 0.11103778413877
15 0.11103778413877
16 0.11103778413877
17 0.11103778413877
E = -18.3545920441262
site	densite
0 -0.00150195451853978
1 -0.00150195451853978
2 -0.00150195451853978
3 -0.00150195451853978
4 -0.00150195451853978
5 -0.00150195451853978
6 -0.00150195451853978
7 -0.00150195451853978
8 -0.00150195451853978
9 -0.00150195451853978
10 -0.00150195451853978
11 -0.00150195451853978
12 -0.00150195451853978
13 -0.00150195451853978
14 -0.00150195451853978
15 -0.00150195451853978
16 -0.00150195451853978
17 -0.00150195451853978
E = -17.9660519643952
site	densite
0 -0.0396579130481499
1 -0.0396579130481499
2 -0.0396579130481499
3 -0.0396579130481499
4 -0.0396579130481499
5 -0.0396579130481499
6 -0.0396579130481499
7 -0.0396579130481499
8 -0.0396579130481499
9 -0.0396579130481499
10 -0.0396579130481499
11 -0.0396579130481499
12 -0.0396579130481499
13 -0.0396579130481499
14 -0.0396579130481499
15 -0.0396579130481499
16 -0.0396579130481499
17 -0.0396579130481499
E = -17.6663403394076
site	densite
0 -0.0382431812049331
1 -0.0382431812049331
2 -0.0382431812049331
3 -0.0382431812049331
4 -0.0382431812049331
5 -0.0382431812049331
6 -0.0382431812049331
7 -0.0382431812049331
8 -0.0382431812049331
9 -0.0382431812049331
10 -0.0382431812049331
11 -0.0382431812049331
12 -0.0382431812049331
13 -0.0382431812049331
14 -0.0382431812049331
15 -0.0382431812049331
16 -0.0382431812049331
17 -0.0382431812049331
E = -17.3784620512838
site	densite
0 -0.0267294780810127
1 -0.0267294780810127
2 -0.0267294780810127
3 -0.0267294780810127
4 -0.0267294780810127
5 -0.0267294780810127
6 -0.0267294780810127
7 -0.0267294780810127
8 -0.0267294780810127
9 -0.0267294780810127
10 -0.0267294780810127
11 -0.0267294780810127
12 -0.0267294780810127
13 -0.0267294780810127
14 -0.0267294780810127
15 -0.0267294780810127
16 -0.0267294780810127
17 -0.0267294780810127
E = -17.1227687255506
site	densite
0 -0.102387687996759
1 -0.102387687996759
2 -0.102387687996759
3 -0.102387687996759
4 -0.102387687996759
5 -0.102387687996759
6 -0.102387687996759
7 -0.102387687996759
8 -0.102387687996759
9 -0.102387687996759
10 -0.102387687996759
11 -0.102387687996759
12 -0.102387687996759
13 -0.102387687996759
14 -0.102387687996759
15 -0.102387687996759
16 -0.102387687996759
17 -0.102387687996759
E = -17.0823886958228
site	densite
0 0.00300902463921013
1 0.00300902463921013
2 0.00300902463921013
3 0.00300902463921013
4 0.00300902463921013
5 0.00300902463921013
6 0.00300902463921013
7 0.00300902463921013
8 0.00300902463921013
9 0.00300902463921013
10 0.00300902463921013
11 0.00300902463921013
12 0.00300902463921013
13 0.00300902463921013
14 0.00300902463921013
15 0.00300902463921013
16 0.00300902463921013
17 0.00300902463921013
E = -16.8521226645726
site	densite
0 0.159593197504473
1 0.159593197504473
2 0.159593197504473
3 0.159593197504473
4 0.159593197504473
5 0.159593197504473
6 0.159593197504473
7 0.159593197504473
8 0.159593197504473
9 0.159593197504473
10 0.159593197504473
11 0.159593197504473
12 0.159593197504473
13 0.159593197504473
14 0.159593197504473
15 0.159593197504473
16 0.159593197504473
17 0.159593197504473
E = -16.7918957184591
site	densite
0 -0.035248871690605
1 -0.035248871690605
2 -0.035248871690605
3 -0.035248871690605
4 -0.035248871690605
5 -0.035248871690605
6 -0.035248871690605
7 -0.035248871690605
8 -0.035248871690605
9 -0.035248871690605
10 -0.035248871690605
11 -0.035248871690605
12 -0.035248871690605
13 -0.035248871690605
14 -0.035248871690605
15 -0.035248871690605
16 -0.035248871690605
17 -0.035248871690605
k = 2
E = -19.4382487125237
site	densite
0 0.333268905069786
1 0.333762931434699
2 0.333268905069786
3 0.333762931434699
4 0.333268905069786
5 0.333762931434699
6 0.333268905069786
7 0.333762931434699
8 0.333268905069786
9 0.333762931434699
10 0.333268905069786
11 0.333762931434699
12 0.333268905069786
13 0.333762931434699
14 0.333268905069786
15 0.333762931434699
16 0.333268905069786
17 0.333762931434699
E = -18.8588446193316
site	densite
0 0.112233855585621
1 0.112890821513026
2 0.112233855585621
3 0.112890821513026
4 0.112233855585621
5 0.112890821513026
6 0.112233855585621
7 0.112890821513026
8 0.112233855585621
9 0.112890821513026
10 0.112233855585621
11 0.112890821513026
12 0.112233855585621
13 0.112890821513026
14 0.112233855585621
15 0.112890821513026
16 0.112233855585621
17 0.112890821513026
E = -18.365088691981
site	densite
0 -0.00749375684987753
1 -0.00723435960590232
2 -0.00749375684987753
3 -0.00723435960590232
4 -0.00749375684987753
5 -0.00723435960590232
6 -0.00749375684987753
7 -0.00723435960590232
8 -0.00749375684987753
9 -0.00723435960590232
10 -0.00749375684987753
11 -0.00723435960590232
12 -0.00749375684987753
13 -0.00723435960590232
14 -0.00749375684987753
15 -0.00723435960590232
16 -0.00749375684987753
17 -0.00723435960590232
E = -17.984179412576
site	densite
0 -0.0497351790211415
1 -0.0511324224832644
2 -0.0497351790211415
3 -0.0511324224832644
4 -0.0497351790211415
5 -0.0511324224832644
6 -0.0497351790211415
7 -0.0511324224832644
8 -0.0497351790211415
9 -0.0511324224832644
10 -0.0497351790211415
11 -0.0511324224832644
